date,time,location,operator,flight,route,aircraft,registration,cnln,aboard,fatalities,ground,summary
19080917,1718,"FortMyer,Virginia",Military-U.s.Army,,Demonstration,WrightFlyerIii,,1,2,1,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
19090907,,"Juvisy-sur-orge,France",,,AirShow,WrightByplane,Sc1,,1,1,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
19120712,630,"AtlanticCity,NewJersey",Military-U.s.Navy,,TestFlight,Dirigible,,,5,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
19130806,,"Victoria,BritishColumbia,Canada",Private,,,CurtissSeaplane,,,1,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
19130909,1830,OverTheNorthSea,Military-GermanNavy,,,ZeppelinL-1,,,20,14,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
19131017,1030,"NearJohannisthal,Germany",Military-GermanNavy,,,ZeppelinL-2,,,28,28,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again."
19150305,100,"Tienen,Belgium",Military-GermanNavy,,,ZeppelinL-8,,,41,17,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
19150903,1520,"OffCuxhaven,Germany",Military-GermanNavy,,,ZeppelinL-10,,,19,19,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
19160728,,"NearJambol,Bulgeria",Military-GermanArmy,,,Schutte-lanzS-l-10,,,20,20,0,"Crashed near the Black Sea, cause unknown."
19160924,100,"Billericay,England",Military-GermanNavy,,,ZeppelinL-32,,,22,22,0,Shot down by British aircraft crashing in flames.
19161001,2345,"PottersBar,England",Military-GermanNavy,,,ZeppelinL-31,,,19,19,0,Shot down in flames by the British 39th Home Defence Squadron.
19161121,,"Mainz,Germany",Military-GermanArmy,,,SuperZeppelin,,,28,27,0,Crashed in a storm.
19161128,2345,"OffWestHartlepool,England",Military-GermanNavy,,,ZeppelinL-34,,,20,20,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
19170304,,"NearGent,Belgium",Military-GermanArmy,,,Airship,,,20,20,0,Caught fire and crashed.
19170330,,OffNorthernGermany,Military-GermanNavy,,,Schutte-lanzS-l-9,,,23,23,0,Struck by lightning and crashed into the Baltic Sea.
19170514,515,"NearTexelIsland,NorthSea",Military-GermanNavy,,,ZeppelinL-22,,,21,21,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
